"counterbalance_group","counterbalance_remaining","consent_started","consent_stopped","key_resp_7_keys","key_resp_7_rt","key_resp_7_duration","age","gender","date","exp_name","psychopy_version","os","frame_rate","instructions_started","instructions_stopped","key_resp_2_keys","key_resp_2_rt","key_resp_2_duration","instructions_2_started","instructions_2_stopped","key_resp_4_keys","key_resp_4_rt","key_resp_4_duration","trial_started","key_resp_actual","trial_stopped","correct","approach","friendly","block","key_resp_keys","feedback_started","feedback_stopped","cue_started","cue_stopped","intertrial_interval_started","intertrial_interval_stopped","trials_this_rep_n","trials_this_trial_n","trials_this_n","trials_this_index","trials_ran","alien_stim","category","block_feedback_started","block_feedback_stopped","key_resp_3_keys","key_resp_3_rt","key_resp_3_duration","end_game_started","end_game_stopped","key_resp_5_keys","key_resp_5_rt","key_resp_5_duration"
"A",NA,0.618,14.7123,"space",14.041,NA,49,"male","2025-11-21_18h35.39.428","Category_Training_NoLabel","2024.2.4","MacIntel",57.47126437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,49,"male","2025-11-21_18h35.39.428","Category_Training_NoLabel","2024.2.4","MacIntel",57.47126437,14.7125,43.592,"space",28.8508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,49,"male","2025-11-21_18h35.39.428","Category_Training_NoLabel","2024.2.4","MacIntel",57.47126437,NA,NA,NA,NA,NA,43.5921,74.9783,"space",31.3554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,49,"male","2025-11-21_18h35.39.428","Category_Training_NoLabel","2024.2.4","MacIntel",57.47126437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.995,"[""up""]",78.9273,0,TRUE,0,1,NA,78.9282,80.1143,80.1148,81.9224,81.9225,82.9306,0,0,0,15,1,"resources/F8Mdh0.png",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,49,"male","2025-11-21_18h35.39.428","Category_Training_NoLabel","2024.2.4","MacIntel",57.47126437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82.9311,"[""up""]",86.0849,1,FALSE,0,1,NA,86.0853,87.2781,87.2783,89.063,89.063,90.0925,0,1,1,12,1,"resources/F8Mah0.png",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,49,"male","2025-11-21_18h35.39.428","Category_Training_NoLabel","2024.2.4","MacIntel",57.47126437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.093,"[""right""]",94.0426,0,TRUE,0,1,NA,94.0429,95.2431,95.2433,97.0443,97.0444,98.0459,0,2,2,10,1,"resources/F8Fch0.png",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,49,"male","2025-11-21_18h35.39.428","Category_Training_NoLabel","2024.2.4","MacIntel",57.47126437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.0463,"[""right""]",100.2491,1,FALSE,0,1,NA,100.2494,101.4471,101.4474,103.2512,103.2513,104.2311,0,3,3,9,1,"resources/F8Fbh0.png",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,49,"male","2025-11-21_18h35.39.428","Category_Training_NoLabel","2024.2.4","MacIntel",57.47126437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104.2316,"[""right""]",107.1964,1,FALSE,0,1,NA,107.1967,108.3925,108.3927,110.1977,110.1977,111.1952,0,4,4,8,1,"resources/F8Fah0.png",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,49,"male","2025-11-21_18h35.39.428","Category_Training_NoLabel","2024.2.4","MacIntel",57.47126437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,111.1955,"[""down""]",114.0888,0,FALSE,1,1,NA,114.0891,115.2856,115.2859,117.0673,117.0674,118.0695,0,5,5,7,1,"resources/F7Mdh0.png",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,49,"male","2025-11-21_18h35.39.428","Category_Training_NoLabel","2024.2.4","MacIntel",57.47126437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118.0698,"[""left""]",120.4866,0,TRUE,0,1,NA,120.4869,121.6789,121.679,123.4858,123.4858,124.4806,0,6,6,13,1,"resources/F8Mbh0.png",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,49,"male","2025-11-21_18h35.39.428","Category_Training_NoLabel","2024.2.4","MacIntel",57.47126437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,124.4811,"[""left""]",127.7024,0,FALSE,1,1,NA,127.7027,128.9014,128.9016,130.6913,130.6914,131.6873,0,7,7,0,1,"resources/F7Fah0.png",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,49,"male","2025-11-21_18h35.39.428","Category_Training_NoLabel","2024.2.4","MacIntel",57.47126437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131.6876,"[""left""]",133.9804,0,FALSE,1,1,NA,133.9807,135.171,135.1712,136.9881,136.9881,137.9876,0,8,8,6,1,"resources/F7Mch0.png",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,49,"male","2025-11-21_18h35.39.428","Category_Training_NoLabel","2024.2.4","MacIntel",57.47126437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,137.988,"[""down""]",140.8929,0,FALSE,1,1,NA,140.8932,142.0878,142.0881,143.8723,143.8723,144.8754,0,9,9,4,1,"resources/F7Mah0.png",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,49,"male","2025-11-21_18h35.39.428","Category_Training_NoLabel","2024.2.4","MacIntel",57.47126437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,144.8758,"[""down""]",147.5569,0,FALSE,1,1,NA,147.5573,148.7526,148.7528,150.5523,150.5523,151.5648,0,10,10,2,1,"resources/F7Fch0.png",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,49,"male","2025-11-21_18h35.39.428","Category_Training_NoLabel","2024.2.4","MacIntel",57.47126437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151.5651,"[""up""]",156.8601,1,FALSE,0,1,NA,156.8604,158.0543,158.0544,159.8515,159.8515,160.8686,0,11,11,11,1,"resources/F8Fdh0.png",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,49,"male","2025-11-21_18h35.39.428","Category_Training_NoLabel","2024.2.4","MacIntel",57.47126437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160.869,"[""up""]",163.1622,0,TRUE,0,1,NA,163.1626,164.3381,164.3384,166.1531,166.1531,167.1504,0,12,12,14,1,"resources/F8Mch0.png",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,49,"male","2025-11-21_18h35.39.428","Category_Training_NoLabel","2024.2.4","MacIntel",57.47126437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167.151,"[""down""]",169.9029,1,TRUE,1,1,NA,169.9032,171.097,171.0971,172.8965,172.8966,173.8922,0,13,13,5,1,"resources/F7Mbh0.png",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,49,"male","2025-11-21_18h35.39.428","Category_Training_NoLabel","2024.2.4","MacIntel",57.47126437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,173.8926,"[""left""]",176.7688,1,TRUE,1,1,NA,176.7691,177.9626,177.9628,179.7564,179.7564,180.7757,0,14,14,1,1,"resources/F7Fbh0.png",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,49,"male","2025-11-21_18h35.39.428","Category_Training_NoLabel","2024.2.4","MacIntel",57.47126437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180.776,"[""up""]",183.183,1,TRUE,1,1,NA,183.1832,184.3601,184.3602,186.1778,186.1778,187.1726,0,15,15,3,1,"resources/F7Fdh0.png",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,49,"male","2025-11-21_18h35.39.428","Category_Training_NoLabel","2024.2.4","MacIntel",57.47126437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,193.8582,"[""up""]",196.5725,0,FALSE,1,2,NA,196.5728,197.7662,197.7663,199.5613,199.5613,200.5607,0,0,0,6,1,"resources/F7Mch0.png",1,187.1733,193.8522,"space",6.6379,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,49,"male","2025-11-21_18h35.39.428","Category_Training_NoLabel","2024.2.4","MacIntel",57.47126437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200.561,"[""left""]",203.1621,0,FALSE,1,2,NA,203.1624,204.3594,204.3597,206.1585,206.1585,207.1583,0,1,1,0,1,"resources/F7Fah0.png",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,49,"male","2025-11-21_18h35.39.428","Category_Training_NoLabel","2024.2.4","MacIntel",57.47126437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,207.1587,"[""left""]",210.6096,0,FALSE,1,2,NA,210.6098,211.8018,211.8019,213.5972,213.5972,214.6013,0,2,2,5,1,"resources/F7Mbh0.png",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,49,"male","2025-11-21_18h35.39.428","Category_Training_NoLabel","2024.2.4","MacIntel",57.47126437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,214.6016,"[""right""]",217.0623,1,TRUE,1,2,NA,217.0626,218.2646,218.2648,220.0643,220.0643,221.0588,0,3,3,1,1,"resources/F7Fbh0.png",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,49,"male","2025-11-21_18h35.39.428","Category_Training_NoLabel","2024.2.4","MacIntel",57.47126437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,221.0591,"[""up""]",223.4468,1,FALSE,0,2,NA,223.4471,224.6413,224.6415,226.437,226.437,227.4352,0,4,4,15,1,"resources/F8Mdh0.png",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,49,"male","2025-11-21_18h35.39.428","Category_Training_NoLabel","2024.2.4","MacIntel",57.47126437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,227.4355,"[""right""]",229.7349,0,FALSE,1,2,NA,229.7352,230.9261,230.9263,232.7438,232.7438,233.7426,0,5,5,2,1,"resources/F7Fch0.png",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,49,"male","2025-11-21_18h35.39.428","Category_Training_NoLabel","2024.2.4","MacIntel",57.47126437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,233.7428,"[""down""]",236.3404,1,FALSE,0,2,NA,236.3407,237.5302,237.5304,239.3453,239.3453,240.344,0,6,6,10,1,"resources/F8Fch0.png",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
